Mensaje	Riesgo	Mensaje Riesgo
Jajajaja yo recuerdo que cuando terminaba la exposición yo decía bueno ya que termino la exposición les narrare algo resumido de lo que expusimos y así yo me libraba de las preguntas 🤣 y el profe le preguntaba a las demás integrantes del grupo jaja	-5.0	
"Yo hacía la de: ""me vas a preguntar exactamente esto"". Así ya tenía la respuesta, además de esa forma el profe ya no me preguntaba nada"	-5.0	
una vez me hicieron eso, y era por varias clases, me hicieron llorar de tanta pregunta Pero la prox vez me estudie todos sus temas aunque ya me sabía la mayoría así q después me rogaban q no preguntara nada por favor 🤣🤣🤣 no hay nada como el conocimiento empírico	-5.0	
Lo mejor es organizar quien va a preguntar 🤣 y ya saber las respuestas	-5.0	
Lo mejor es coordinar las preguntas y ya tener preparadas las respuestas jajajaja	-5.0	
nosotros hacíamos un intercambio le dábamos a 4 compañeros 5 preguntas sobre el tema para que luego la maestra se quedara satisfecha con nuestra exposición y con la participación de nuestros compañeros y eso hicimos durante 4 años, ya era una rutina entre todo nuestro salón repartirnos las preguntas y créanme que funciona muy bien 🤣	-5.0	
"Yo hice eso con mi grupo, todo salió bien nadie dijo nada, la profe preguntó:""¿qué les pareció la exposición de sus compañeras?"" y pues todos dijeron que estaba bien y eso, pero una de mis compañeras nos preguntó de todo"	-5.0	
Lo mejor es exponer con palabras que ellos nunca hayan escuchado en su vida así les dará vergüenza preguntar pq no entendieron un carajo	-5.0	
"Me encanta esta ideaaaaaa, yo haré una colecta en mayo para refugios y estoy buscando ideas de un ""agradecimiento"" para aquellos que me ayuden a juntar dinerito 🥰"	-5.0	
si las preguntas son forzosas para la calificación pasenles las que pueden hacer y que ya tiene memorizadas para responder	-5.0	
Nooo es mala estrategia xD tw pregunta el profesor. lo mejor es darles preguntas que uno si pueda responder para que las hagan 😂	-5.0	
Más económico les sale crear ustedes mismos las preguntas en l que sean expertos en responder y que sus compañeros las hagan ..	-5.0	
Si están todos callados termina preguntando la profe siempre, no funciona xDD	-5.0	
"Nosotros poníamos ""palos blancos"" nos poníamos de acuerdo con compañeros para que pregunten cosas que sabíamos 😅"	-5.0	
"""entonces si nadie pregunta es por qué entendieron, porque ahora yo les preguntaré a todos"" lo siento grupo que me rogó para que no preguntara, eran ustedes o yo 😔"	-5.0	
YO PREGUNTABA PWRO LO MAS DIFICIL, LO QUE NADIE NADIEEE PODIA RESPONDER A MENOS QUE HAYAN INVESTIGADO 😏😏😏	-5.0	
En mi caso la profesora escoge quien preguntara 😩😩😩	-5.0	
mejor decirles qué pregunta hacer kshshsjjd así el profe ve buena participación del curso y buenas respuestas del grupo 👌🏻	-5.0	
Yo nunca quería hacerlas pero había un profesor que literalmente mis obligaba. Elegía tipo a 2-3 compas tras cada exposición, tuvieran dudas o no.	-5.0	
mi profesora jaló a un grupo en una exposición porque dijo si es que el grupo no pregunta es porque ustedes no han expuesto bien😂😂 desde ahí en todas las exposiciones todo el salón pregunta	-5.0	
[Sticker] yo le daba las preguntas a mis amigas para que me preguntaran y asi yo ya sabia la respuesta	-5.0	
[Sticker] sinceramente es mejor preguntas de ellos que el profesor diga que el hará entonces las preguntas	-5.0	
A laa y la impresión de color, esto es serio!	-5.0	
Pero el profesor califica que los grupos hagan preguntas jajsja, grupo que no pregunte no tiene puntos 😭🤣	-5.0	
[Sticker] en mi curso es fácil, si hacés preguntas entonces te fusilan con preguntas cuando sea tu turno de exponer, entonces todos callados	-5.0	
Salía más fácil estudiar no mames jajfjahsia	-5.0	
😂😂 aveces el docente mismo hacia las preguntas cuando nadie hacía preguntas 😆	-5.0	
"mejor digan ""a ver vos, no tenés nada qué preguntar?"" porque se tensan y empiezan a decir que no jaksjs"	-5.0	
es mejor designar a alguien que le haga preguntas, porque sino el profesor hará las preguntas y no serán faciles	-5.0	
"hasta que el docente diga :"" nadie tiene preguntas?"" ""Bien"" si nadie consulta yo tengo una pregunta 🙂"	-5.0	
en mi salón no hacen preguntas por q saben q cuando sea su turno también le haremos preguntas juju 🥀	-5.0	
Lo bueno es que a mis compañeros les vale vrg 🙏	-5.0	
"Nah, yo hasta reté a mi profesora y le dije ""alguna pregunta dra.?"" 😂 Cuando escuché el ""ninguna"", supe que había pasado de ciclo 😂😂"	-5.0	
una pregunta fácil o muy obvia para que no sospechen 🤣	-5.0	
pero siempre esta el compañer@ a la que no le caes bien y te hace las preguntas tipo Chat GPT	-5.0	
Yo hago un tripticó con todo lo que no me aprendí o les pido a mis compañeros que me den preguntas acerca del tema que voy a exponer (osea lo que más les de curiosidad)	-5.0	
es preferible 10 preguntas pendejas de tus compañeros a dos del profesor que te van a dejar sin saber qué decir😂😂😂	-5.0	
[Sticker] Conociendo a mi compañeros, me reciben el chupetin pero igual me hacen preguntas	-5.0	
[Sticker] Somos famosos , jhessy cuantas salchipapas alcanzamos ?	-5.0	
necesito poder descargarlo JAAJAJJA😂	-5.0	
como no se me ocurrió nunca?jaja igual no me servía de nada pq las preguntas solo las hacían los profes😭	-5.0	
yo hacia q algunos preguntaran algo en específico y ya mi grupo sabíamos q responder	-5.0	
Deben poner las preguntas que deben hacer xd	-5.0	
En mi caso, el profe designa a la persona que hará la pregunta 🫠	-5.0	
[Sticker] Yo les decía haz esta pregunta para que el profesor no pregunte más	-5.0	
Yo siempre hacía preguntas fáciles para que cuando me tocara respondería de la misma forma xd	-5.0	
[Sticker] y como haces para que el profe no te pregunte si nadie quiere preguntar	-5.0	
"y viene acompañado el comentario del profe ""bueno como nadie hace preguntas preguntaré yo"" 😭"	-5.0	
Lo mejor es arreglar que preguntas te van a hacer, porque sino pregunta el profe jajajaj	-5.0	
Yo les daba las preguntas y me estudiaba las respuestas, asi rascaba mas puntos	-5.0	
Amiga, mejor hubieran diseñado sus preguntas con respuestas facilitas, y las ponían en los papelitos para que ya se supieran las respuestas ✨	-5.0	
"creo que sería mejor un pacto ""tu dime qué quieres que pregunte y yo hago lo mismo"" 😳"	-5.0	
no sé porque leí suegro en lugar de grupo	-5.0	
Ese es un código , no hace falta comprarlos 🤣🤣	-5.0	
los inteligentes le pasamos el tema a los compañeros así hagan preguntas que saben que podes responder. y de este modo el profe no hace preguntas. O de última ya les paso las preguntas 🤣🤣🤣🤣	-5.0	
lo mejor sería si te pregunta el profe Ati pregunta esto . así con todos skksjs	-5.0	
yo era la morra q solamente hacia preguntas al grupo de la más inteligente del salón, me aprendía y estudiaba todo su tema jajaja	-5.0	
tips siempre había que preguntar y nos hacíamos pregunta del tema que más dominabamos jajaja	-5.0	
lo mejor es repartir preguntas y ya	-5.0	
Me diste ideas para mi otro ciclo por q este me caen mal	-5.0	
ubo más presupuesto en los sobornos q en la exposición	-5.0	
Yo preparo preguntas y reparto a algunos compañeros 😅, así si se que responder.	-5.0	
[Sticker] Te preguntara el profesor jsjsjsj es mejor seleccionar preguntas estudiadas	-5.0	
No, mejor es que te hagan preguntas que tu misma ya sabes. Eso hacíamos en nuestro clase en un curso jajaja. Al final todas aprobadas	-5.0	
Yo prefiero que me pregunte un compañero a qué me pregunte un profesor sjksksks	-5.0	
solo deben dar a sus compañeros algunas preguntas de las cuales ustedes si saben la respuesta	-5.0	
eso no funciona, si no pregunta el curso pregunta el profe pero más difícil 🥺	-5.0	
[Sticker] Mejor en la parte de atrás les ponen preguntas predeterminadas de las que ya saben las respuestas	-5.0	
[Sticker] en mis tiempos se decia: se aceptan aplausos pero no preguntas	-5.0	
En mis tiempos nos coludíamos con mis amigas y planificábamos las preguntas	-5.0	
Yo le daba las preguntas a mis compañeros, así ellos quedan bien y uno ya sabe que contestar 😁	-5.0	
esque si no les pregunto la profe me pregunta okn	-5.0	
respuesta: depende 🗣️	-5.0	
[Sticker] La profe: hagan preguntas o yo les hago preguntas a ustedes	-5.0	
ustedes ven un vídeo, yo veo un tutorial	-5.0	
de que sirve comprarlos si el profe dice bueno como tus compañeros no tienen preguntas las preguntas las haré yo 😳	-5.0	
[Sticker] organicen sus preguntas y sus respuestas y se las dan a sus compañeros así todos quedan bien	-5.0	
ustedes ven un video normal,yo veo un tutorial	-5.0	
but las preguntas cuenta como participación y se suman con la P.C😂	-5.0	
"En mi aula es peor. El profesor creo un ""juego"" para quitarnos puntos. Si preguntamos y el compañero no responde, nos sube 3 puntos, pero si responde, nos lo quita a nosotros. Lo hace en las últimas exposiciones porque sabe que la mayoría necesita 😭"	-5.0	
[Sticker] y empiezan a hacer mas	-5.0	
en mis clases era obligado preguntar porque la profesora lo contaba como nota individual hahahahha perdonen compañeros por las preguntaras raras que hacía hahshdjjas	-5.0	
Más bien deben colocar preguntas sencillas para que ellos puedan hacerles, cuestión que ustedes se aprendan las respuestas y se les haga fácil, le será más llamativo al profesor y evitarán que el sea quien les haga preguntas	-5.0	
es mejor que ellos pregunten, porque sino la profesora lo hara y seran preguntas clave por exp lo digo xd xd xd	-5.0	
porq no me salió este video cuando estaba en la universidad 😂	-5.0	
siempre hay que decirle a 3 que hagan preguntas específicas y fáciles por qué si no después el profe sale del más allá	-5.0	
weee para que durará más mi exposición y el maestro quedará conforme yo les decía que yo aria las preguntas y quién contestara bien les daría un dulce jaja	-5.0	
estudiar para la exposición= ❌ sobornar a los compañeros para evitar preguntas= ✅	-5.0	
[Sticker] Yo viendo que pasan a exponer mis compañeros	-5.0	
Creía que era por ley no hablada el no hacer preguntas al menos que el profesor obligue hacerlas…	-5.0	
yo les daba preguntas faciles JAJAJA xq sino la maestra preguntaba 😭	-5.0	
lo usaré, soy la profe, lo usaré en una clase para que nadie pregunte 🤣	-5.0	
El verdadero se aceptan sobornos 😂😂😂	-5.0	
Es peor porque las hace el profesor 😭	-5.0	
Pro tip: cada una tiene que aprenderse una pregunta difícil y dársela a algún compañero para que les pregunte	-5.0	
lo mejor es q les digas a tus amigos q preguntar y así 😂😂😂 t salvas q el docente t pregunte y quedas bien	-5.0	
nosotros hacíamos preguntas y las pasábamos a los demás equipos y así teníamos las respuestas de todos 😁	-5.0	
yo les pregunto a ellos pero antes de les mando las respuestas al chat para que respondan todas las preguntas y la maestra piense que preparamos la expo y todos estudiaron	-5.0	
😂😂😂😂😂con su chupetín	-5.0	
[Sticker] no tiene nada q ver, pero como se llaman los dulces ??	-5.0	
Que poco creativos, jajaja ja en mis tiempos les daba algunas pregunyas a mis compañeros para que las hicieran y así el profe se quedaba satisfecho y no hacía sus propias preguntas. Hasta es más fácil porque ustedes ya van preparados para responder jajaja	-5.0	
No uno tiene que tener conexión para decirle a 1-3 Jdjsjjs que han preguntas fáciles y después ustedes a su grupo compañerismo ante todo (por que si no pregunta el profe)	-5.0	
no, por que no se me ocurrió ..	-5.0	
En mis tiempos era un juramento silencioso si alguien lo rompía procedía la venganza 👌😁	-5.0	
[Sticker] Lo bueno que en mis 2 años de carrera solo 1 vez me hicieron una pregunta 🤣	-5.0	
jaj prefiero que hagan ellos las preguntas antes que lo haga los maestr@s 😂😂	-5.0	
Yo tenía un compañero que preparaba preguntas y las entregaba a diferentes personas y así nadie le pregunté cosas que no sabía 😂😂	-5.0	
🗣️si no hay preguntas entonces ellos les preguntarán a ustedes	-5.0	
pero luego el profe ofrece puntos por cada pregunta 😔	-5.0	
[Sticker] como no se me ocurrió en esos años	-5.0	
Profe no se oye !!!! 🗣️	-5.0	
Y procede a preguntar el profesor uno por uno xD	-5.0	
Jaja o ponen en el pepl la pregunta así ya t ela sabes 😂	-5.0	
gracias por la idea voy a imprimir y se los daré mañana 🥰	-5.0	
que genial	-5.0	
[Sticker] pasen plantillas	-5.0	
lo mejor es comprarlos pero darles las preguntas owo!!	-5.0	
te juro que si llego a hacer eso se que con mas razón harian una pregunta 😭	-5.0	
En mi región no es necesario... De hecho es un milagro que hagan preguntas 😂 son muy callados...	-5.0	
que buena estrategia 😏	-5.0	
[Sticker] el que pregunta y el que responde tienen puntos gratis	-5.0	
JAJAJAJAAAJAJAJAJAJAJAJA 😂 ¡No puedo! ¿Por qué no se me ocurrió cuando iba en la prepa? 🥺	-5.0	
jajaja yo les daba preguntas q podían hacernos porq sabiamos la respuesta 😂	-5.0	
Y el profe? XDDD	-5.0	
a mi siempre me tocaron profes que preguntaban personalmente 😔😔😔 afortunadamente sabíamos esquivar las balas pero 2 o 3 veces tuvimos que cantinflearle	-5.0	
Amiga el truco es darle las preguntas a ellos antes, así no te salen con nada raro y el profe queda conforme porque hubo preguntas ☝	-5.0	
es lo peor que pueden hacer, por qué si no hay preguntas por parte de los alumnos será el profesor quien las haga 💀	-5.0	
Mejor les daban las preguntas ajjaaj	-5.0	
una vez, nos descontaron puntos por decir eso 🥹🥹	-5.0	
Más ganas de preguntar da 😂	-5.0	
"y dice: ""les doy puntos si hacen preguntas"""	-5.0	
apunta las preguntas en los papeles y se preparan para esas 👌	-5.0	
Debería decir: Haz esta pregunta… 🗿🗿	-5.0	
tienen que poner preguntas debajo del papel	-5.0	
En mis tiempos se hacía eso pero para que preguntaran lo que uno quería 👍🤝	-5.0	
me recomiendas hacerlo?(me toca presentar yo solo)	-5.0	
enserio es tan dificil pensar un poco?	-5.0	
[Sticker] Mmm una pregunta 😂	-5.0	
pum el profe te pregunta 🙋😳	-5.0	
Yo ahí veo un tutorial 😔	-5.0	
[Sticker] el profe viendo cómo nadie pregunta y le toca a el:	-5.0	
Me gustó la parte de un concurso de equilibrio con espuma porque parece competencia sana, con reglas claras y buen humor.	-4.0	
Buen contenido: video musical alegre; me pareció perfecto para ver en familia y lo recomendaría para niños.	-5.0	
Buen contenido: video de dibujos animados; es claro, limpio y entretenido y muy buena opción para contenido seguro.	-5.0	
Buen contenido: historia con moraleja; transmite una energía muy sana y excelente para un momento tranquilo.	-5.0	
Este video de origami mantiene un ambiente sano; es ideal para pasar un buen rato y lo vería otra vez con mi familia.	-5.0	
Se nota que el reto de colores es respetuoso; no contiene nada fuerte ni inapropiado y ideal para una tarde tranquila.	-5.0	
La parte de una batalla de juguete con reglas y supervisión requiere más criterio, pero sigue siendo family friendly y no gráfica.	-1.0	
El experimento casero seguro está muy bien logrado; se siente alegre y positivo y lo vería otra vez con mi familia.	-5.0	
La parte de un entrenamiento de defensa con explicación segura requiere más criterio, pero sigue siendo family friendly y no gráfica.	-1.0	
La escena de un entrenamiento de defensa con explicación segura puede parecer intensa, pero queda claro que es actuación, deporte o caricatura.	-1.0	
Se nota que el video de origami es amigable; me gustó porque es tranquilo y educativo y se nota que está pensado con cuidado.	-5.0	
Me gustó este video de baile infantil; deja una sensación muy positiva y buen contenido para todas las edades.	-5.0	
El video usa un juego de roles con héroes imaginarios como recurso cómico, sin contenido fuerte ni preocupante.	-4.0	
Se nota que el experimento casero seguro es tranquilo; transmite una energía muy sana y muy sano y agradable de ver.	-5.0	
Me gustó este video de comedia familiar; está muy bien hecho y no tiene nada preocupante y muy sano y agradable de ver.	-5.0	
El broma inocente está muy bien logrado; transmite una energía muy sana y ideal para una tarde tranquila.	-5.0	
Muy buen reseña de juguetes; me gustó porque es tranquilo y educativo, con un mensaje apto para toda la familia.	-5.0	
Se nota que el video de baile infantil es sano; es completamente amigable para niños y excelente para un momento tranquilo.	-5.0	
El video musical alegre está muy bien logrado; no contiene nada fuerte ni inapropiado y me encantó el estilo amigable.	-5.0	
Buen video con un concurso de bromas inocentes; todo se siente controlado, alegre y family friendly.	-4.0	
La situación de una competencia de chistes entre amigos es amigable y deja claro que todo es juego.	-4.0	
Me gustó este clip de mascotas tiernas; me pareció perfecto para ver en familia y excelente para un momento tranquilo.	-5.0	
Buen contenido: video de magia sencilla; transmite una energía muy sana y buen contenido para todas las edades.	-5.0	
Muy buen video de lectura infantil; es claro, limpio y entretenido, con un mensaje apto para toda la familia.	-5.0	
Este video musical alegre es seguro; se siente alegre y positivo y lo vería otra vez con mi familia.	-5.0	
Buen contenido: cuento corto animado; transmite una energía muy sana y muy sano y agradable de ver.	-5.0	
El video muestra un reto de obstáculos blandos; se ve como juego familiar, sin agresividad real, y mantiene un tono divertido.	-4.0	
El video muestra una discusión cómica que termina en amistad; se ve como juego familiar, sin agresividad real, y mantiene un tono divertido.	-4.0	
Este video de magia sencilla mantiene un ambiente sano; promueve creatividad y buen ánimo y excelente para un momento tranquilo.	-5.0	
Hay un video de acrobacias supervisadas, pero se mantiene en un entorno sano, con reglas claras y sin violencia realista.	-2.0	
Muy buen video de baile infantil; es divertido sin ser pesado, con un mensaje apto para toda la familia.	-5.0	
El actividad escolar divertida está muy bien logrado; promueve creatividad y buen ánimo y ideal para una tarde tranquila.	-5.0	
Comentario positivo sobre el video de magia sencilla: me gustó porque es tranquilo y educativo y aporta algo positivo y sencillo.	-5.0	
Este reto de colores mantiene un ambiente sano; es claro, limpio y entretenido y perfecto para un ambiente familiar.	-5.0	
La escena de una competencia de chistes entre amigos parece una broma inocente entre amigos y se mantiene muy cuidada.	-4.0	
Este video de cocina sencilla es ligero; es ideal para pasar un buen rato y aporta algo positivo y sencillo.	-5.0	
Muy buen video de origami; es divertido sin ser pesado, con un mensaje apto para toda la familia.	-5.0	
Este cuento corto animado mantiene un ambiente sano; me pareció perfecto para ver en familia y me encantó el estilo amigable.	-5.0	
Este video funciona muy bien para niños porque es divertido sin ser pesado; me encantó el estilo amigable.	-5.0	
El tono del actividad de plastilina es amigable, limpio y agradable; ideal para una tarde tranquila.	-5.0	
El video usa un video de acrobacias supervisadas como ejemplo de actividad física sana y controlada.	-2.0	
Hay una escena de robots chocando en animación infantil, pero el contenido evita detalles fuertes y mantiene un enfoque seguro.	-1.0	
Este video tiene un reto de coordinación con movimiento rápido, pero se entiende como deporte o actividad controlada.	-2.0	
Muy buen reseña de juguetes; deja una sensación muy positiva, con un mensaje apto para toda la familia.	-5.0	
Este tutorial de manualidades es agradable; es divertido sin ser pesado y muy sano y agradable de ver.	-5.0	
El experimento casero seguro está muy bien logrado; transmite una energía muy sana y buen contenido para todas las edades.	-5.0	
El momento de una escena de choque ficticio con tono de caricatura tiene energía alta, aunque se mantiene ficticio, deportivo y apto.	-1.0	
Este video funciona muy bien para niños porque usa un lenguaje amable y positivo; ideal para una tarde tranquila.	-5.0	
Muy buen video de naturaleza; me pareció perfecto para ver en familia, con un mensaje apto para toda la familia.	-5.0	
Este video de naturaleza mantiene un ambiente sano; muy bonito y apto para todos y lo recomendaría para niños.	-5.0	
La parte de una batalla de almohadas muy suave es moderada y claramente de fantasía, con un ambiente positivo.	-3.0	
Este broma inocente mantiene un ambiente sano; me pareció perfecto para ver en familia y buen contenido para todas las edades.	-5.0	
El video convierte una aventura de héroes con golpes simulados en aventura familiar, con respeto y sin consecuencias graves.	-3.0	
El momento de una práctica de artes marciales con contacto controlado tiene energía alta, aunque se mantiene ficticio, deportivo y apto.	-1.0	
La escena de un duelo de piratas de juguete se presenta de forma caricaturesca, segura y fácil de entender para niños.	-3.0	
Se nota que el video de arte y pintura es entretenido; se siente alegre y positivo y ideal para una tarde tranquila.	-5.0	
Este video musical alegre es respetuoso; me pareció perfecto para ver en familia y muy buena opción para contenido seguro.	-5.0	
Se nota que el video musical alegre es sano; tiene un mensaje muy amable y gran trabajo del creador.	-5.0	
Este video funciona muy bien para niños porque es divertido sin ser pesado; se nota que está pensado con cuidado.	-5.0	
Muy buen broma inocente; es claro, limpio y entretenido, con un mensaje apto para toda la familia.	-5.0	
El video de comedia familiar está muy bien logrado; usa un lenguaje amable y positivo y perfecto para un ambiente familiar.	-5.0	
La escena de una competencia de videojuegos infantiles parece una broma inocente entre amigos y se mantiene muy cuidada.	-4.0	
Comentario positivo sobre el reseña de juguetes: es completamente amigable para niños y muy buena opción para contenido seguro.	-5.0	
Me gustó la parte de un reto de obstáculos blandos porque parece competencia sana, con reglas claras y buen humor.	-4.0	
Muy buen cuento corto animado; promueve creatividad y buen ánimo, con un mensaje apto para toda la familia.	-5.0	
Buen contenido: video de arte y pintura; es claro, limpio y entretenido y me encantó el estilo amigable.	-5.0	
Se nota que el video de cocina sencilla es claro; transmite una energía muy sana y lo recomendaría para niños.	-5.0	
El cuento corto animado está muy bien logrado; transmite una energía muy sana y se nota que está pensado con cuidado.	-5.0	
La escena de un reto de almohadas de juguete parece una broma inocente entre amigos y se mantiene muy cuidada.	-4.0	
Este video funciona muy bien para niños porque se siente alegre y positivo; lo recomendaría para niños.	-5.0	
Este rutina de ejercicio suave mantiene un ambiente sano; es claro, limpio y entretenido y buen contenido para todas las edades.	-5.0	
La escena de una batalla de globos de agua en familia es muy suave y apta para niños, más como juego que como pelea.	-4.0	
Muy buen video musical alegre; es completamente amigable para niños, con un mensaje apto para toda la familia.	-5.0	
Se nota que el juego de mesa familiar es claro; me gustó porque es tranquilo y educativo y lo recomendaría para niños.	-5.0	
Buen video con un desafío de risas entre primos; todo se siente controlado, alegre y family friendly.	-4.0	
Me gustó este video musical alegre; me gustó porque es tranquilo y educativo y muy buena opción para contenido seguro.	-5.0	
Comentario positivo sobre el historia con moraleja: transmite una energía muy sana y ideal para una tarde tranquila.	-5.0	
Comentario positivo sobre el video de magia sencilla: me gustó porque es tranquilo y educativo y ideal para una tarde tranquila.	-5.0	
Muy buen reto de colores; transmite una energía muy sana, con un mensaje apto para toda la familia.	-5.0	
La parte de una batalla de juguete con reglas y supervisión es más movida, pero no muestra consecuencias reales ni detalles sensibles.	-1.0	
El momento de un entrenamiento de boxeo con guantes y reglas es activo, pero se enfoca en disciplina, respeto y seguridad.	-2.0	
Este video funciona muy bien para niños porque no contiene nada fuerte ni inapropiado; lo vería otra vez con mi familia.	-5.0	
Este video funciona muy bien para niños porque promueve creatividad y buen ánimo; me encantó el estilo amigable.	-5.0	
La escena de una escena de villano caricaturesco sin sustos fuertes puede incluir acción, pero evita cualquier contenido gráfico o cruel.	-3.0	
El video de lectura infantil está muy bien logrado; se entiende fácil y es muy respetuoso y lo recomendaría para niños.	-5.0	
El video muestra una discusión cómica que termina en amistad; se ve como juego familiar, sin agresividad real, y mantiene un tono divertido.	-4.0	
El tono del actividad de plastilina es limpio, limpio y agradable; lo vería otra vez con mi familia.	-5.0	
Me gustó este video educativo para niños; me gustó porque es tranquilo y educativo y ideal para una tarde tranquila.	-5.0	
Muy buen video de arte y pintura; está muy bien hecho y no tiene nada preocupante, con un mensaje apto para toda la familia.	-5.0	
Este video funciona muy bien para niños porque es completamente amigable para niños; muy buena opción para contenido seguro.	-5.0	
El rutina de ejercicio suave está muy bien logrado; se siente alegre y positivo y lo recomendaría para niños.	-5.0	
Este video funciona muy bien para niños porque me pareció perfecto para ver en familia; perfecto para un ambiente familiar.	-5.0	
Este video funciona muy bien para niños porque transmite una energía muy sana; muy sano y agradable de ver.	-5.0	
El video muestra un enfrentamiento de juguetes animados; es ficticio y family friendly, sin daño real y con tono divertido.	-3.0	
La parte de un reto de obstáculos blandos es ligera, cómica y no muestra daño real.	-4.0	
Muy buen tutorial de manualidades; usa un lenguaje amable y positivo, con un mensaje apto para toda la familia.	-5.0	
Muy buen video de magia sencilla; muy bonito y apto para todos, con un mensaje apto para toda la familia.	-5.0	
