Mensaje	Riesgo
Texto con violencia moderada: mensaje que describe una persecución agresiva sin detalles explícitos, presentado como algo normal.	3
Comentario sobre pelea leve de caricatura sin heridas ni miedo intenso; puede no ser ideal para niños pequeños, pero no es extremo.	2
Mensaje muy riesgoso: comentario que elogia a figuras criminales violentas; evita detalles gráficos, pero glorifica daño grave.	5
Texto preocupante porque incluye comentario que usa intimidación para provocar miedo; no contiene instrucciones, pero sí normaliza violencia.	4
Comentario no recomendado para menores: texto que celebra que alguien termine lastimado, sin detalles gráficos, con tono de amenaza o intimidación.	4
El mensaje presenta comentario que celebra daño severo hacia otra persona sin describirlo gráficamente como algo aceptable o admirable; es altamente inadecuado para menores.	5
Texto no apto para niños ni adolescentes: mensaje que presenta la crueldad como algo aceptable, con normalización de violencia extrema.	5
Mensaje muy riesgoso: mensaje que trata la violencia extrema como espectáculo; evita detalles gráficos, pero glorifica daño grave.	5
Texto con violencia moderada: video con intimidación y contacto violento descrito a alto nivel, descrito de forma general.	3
Mensaje con discusión fuerte donde nadie resulta herido en un fragmento de película, tratado como ficción o actividad controlada.	2
Contenido de riesgo máximo: texto que celebra una agresión extrema sin detalles explícitos en una escena de acción, claramente no apto para menores.	5
Mensaje muy riesgoso: comentario que normaliza hacer daño grave para ganar respeto; evita detalles gráficos, pero glorifica daño grave.	5
Comentario no recomendado para menores: mensaje que se burla de una víctima después de una agresión, con tono de amenaza o intimidación.	4
Ni siquiera sé en qué calle está Canadá. Al Capone	5
El mensaje usa mensaje que glorifica una pelea fuerte y humillante como forma de presión o miedo; no es adecuado para niños.	4
Texto de bajo riesgo: aparece comentario de rivalidad escolar sin daño físico, sin amenazas ni daño físico.	1
Texto con violencia moderada: comentario que minimiza una pelea real entre adolescentes, no apto para niños pequeños.	3
Texto con riesgo bajo-medio: persecución ficticia sin daño real, presentado sin daño explícito.	2
Comentario no recomendado para menores: comentario que presenta el daño físico como algo divertido, con tono de amenaza o intimidación.	4
Texto no apto para niños ni adolescentes: comentario que celebra daño severo hacia otra persona sin describirlo gráficamente, con normalización de violencia extrema.	5
Texto preocupante porque incluye texto que presume participar en actos agresivos; no contiene instrucciones, pero sí normaliza violencia.	4
Texto preocupante porque incluye comentario que amenaza con hacer daño a otra persona sin dar instrucciones; no contiene instrucciones, pero sí normaliza violencia.	4
El texto menciona comentario que celebra una discusión que se vuelve física en una historia corta; no es apto para niños sin supervisión.	3
El mensaje es seguro: trata de opinión neutral sobre una receta sencilla y mantiene un tono respetuoso.	0
Comentario sin riesgo: habla de comentario amable sobre una canción infantil, sin violencia ni amenazas.	0
El contenido presenta comentario que alienta una revancha física sin explicar cómo en una publicación de fans, lo cual puede ser inadecuado para menores.	3
Comentario de riesgo 5 porque incluye texto que celebra una agresión extrema sin detalles explícitos en un video viral, no apto para niños pequeños.	5
Comentario de riesgo medio: mensaje que describe una persecución agresiva sin detalles explícitos, con normalización de una conducta agresiva.	3
El mensaje contiene comentario de rivalidad escolar sin daño físico en un clip de internet, pero se mantiene en un nivel leve.	1
El contenido presenta escena donde varios personajes se enfrentan físicamente en un video de barrio, lo cual puede ser inadecuado para menores.	3
Texto con riesgo bajo-medio: persecución ficticia sin daño real, presentado sin daño explícito.	2
Texto con riesgo bajo-medio: caída cómica sobre colchoneta sin consecuencias, presentado sin daño explícito.	2
Comentario de riesgo medio: video donde se normaliza resolver conflictos con golpes, con normalización de una conducta agresiva.	3
Mensaje de alto riesgo: texto que presume participar en actos agresivos en un foro de adolescentes, con tono agresivo.	4
Mensaje muy riesgoso: comentario que elogia a figuras criminales violentas; evita detalles gráficos, pero glorifica daño grave.	5
Texto preocupante porque incluye mensaje que se burla de una víctima después de una agresión; no contiene instrucciones, pero sí normaliza violencia.	4
El texto muestra frase competitiva con enojo leve en una historia corta, con tono molesto pero controlado.	1
Comentario de riesgo 5 porque incluye texto que promueve miedo, control e intimidación como poder en un fragmento de película, sin detalles explícitos.	5
El mensaje presenta mensaje que glorifica violencia grave y la presenta como admirable como algo aceptable o admirable; es altamente inadecuado para menores.	5
Texto con riesgo bajo-medio: caída cómica sobre colchoneta sin consecuencias, presentado sin daño explícito.	2
El mensaje presenta mensaje que romantiza el crimen violento y sus consecuencias como algo aceptable o admirable; es altamente inadecuado para menores.	5
Contenido de riesgo alto: texto que presume participar en actos agresivos en un comentario de redes, con glorificación de daño.	4
Texto no apto para niños ni adolescentes: mensaje que romantiza el crimen violento y sus consecuencias, con normalización de violencia extrema.	5
Contenido de riesgo alto: mensaje que se burla de una víctima después de una agresión en una escena de acción, con glorificación de daño.	4
Texto preocupante porque incluye texto que justifica golpear a alguien por una discusión; no contiene instrucciones, pero sí normaliza violencia.	4
Texto no apto para niños ni adolescentes: texto que amenaza con consecuencias violentas graves, con normalización de violencia extrema.	5
Para mí es normal porque tengo algunos años que he andado cuidándome en ciertas ciudades, y no, no siento algo que lastime mi salud, ni mi mente. Me siento bien. Chapo Guzmán	5
El mensaje presenta comentario que celebra daño severo hacia otra persona sin describirlo gráficamente como algo aceptable o admirable; es altamente inadecuado para menores.	5
Comentario de riesgo 5 porque incluye texto que promueve miedo, control e intimidación como poder en un comentario de redes, con una idea negativa para menores.	5
El mensaje presenta mensaje que glorifica violencia grave y la presenta como admirable como algo aceptable o admirable; es altamente inadecuado para menores.	5
Comentario sobre escena de choque leve presentada como comedia; puede no ser ideal para niños pequeños, pero no es extremo.	2
Nunca hice algo para inducir al público a consumir más drogas. La gente, en cierto modo, quiere saber lo que se siente o cómo son los gustos. Y entonces la adicción se hace más grande.Chapo Guzmán	5
Contenido de riesgo alto: mensaje que se burla de una víctima después de una agresión en un video de barrio, con glorificación de daño.	4
Comentario no recomendado para menores: comentario que invita a responder a los problemas con violencia, con tono de amenaza o intimidación.	4
Texto apto para menores sobre reacción tranquila a un video de mascotas; no contiene agresión ni intimidación.	0
El mensaje incluye video de acción con golpes simulados y tono ficticio en un relato ficticio; es acción leve y no gráfica.	2
El mensaje usa mensaje que se burla de una víctima después de una agresión como forma de presión o miedo; no es adecuado para niños.	4
El mensaje es seguro: trata de mensaje respetuoso en un video de ciencia para niños y mantiene un tono respetuoso.	0
El texto muestra comentario de rivalidad escolar sin daño físico en una discusión grabada, con tono molesto pero controlado.	1
El texto menciona mensaje que describe una persecución agresiva sin detalles explícitos en un montaje dramático; no es apto para niños sin supervisión.	3
El mensaje presenta comentario que celebra daño severo hacia otra persona sin describirlo gráficamente como algo aceptable o admirable; es altamente inadecuado para menores.	5
Comentario sin riesgo: habla de opinión positiva sobre una manualidad familiar, sin violencia ni amenazas.	0
Mensaje tranquilo sobre comentario amable sobre una canción infantil, con lenguaje amable y familiar.	0
Contenido de riesgo máximo: texto que amenaza con consecuencias violentas graves en una transmisión en vivo, claramente no apto para menores.	5
El contenido menciona discusión fuerte donde nadie resulta herido; requiere contexto, aunque no da instrucciones ni detalles gráficos.	2
Texto no apto para niños ni adolescentes: texto que promueve miedo, control e intimidación como poder, con normalización de violencia extrema.	5
El mensaje usa mensaje que glorifica una pelea fuerte y humillante como forma de presión o miedo; no es adecuado para niños.	4
Contenido de riesgo máximo: comentario que normaliza hacer daño grave para ganar respeto en una historia corta, claramente no apto para menores.	5
El mensaje presenta mensaje que romantiza el crimen violento y sus consecuencias como algo aceptable o admirable; es altamente inadecuado para menores.	5
Comentario no recomendado para menores: mensaje que se burla de una víctima después de una agresión, con tono de amenaza o intimidación.	4
El contenido presenta escena donde varios personajes se enfrentan físicamente en un foro de adolescentes, lo cual puede ser inadecuado para menores.	3
Comentario de riesgo 5 porque incluye texto que promueve miedo, control e intimidación como poder en una escena de acción, que puede asustar a menores.	5
Texto preocupante porque incluye comentario que presenta el daño físico como algo divertido; no contiene instrucciones, pero sí normaliza violencia.	4
Mensaje muy riesgoso: texto que amenaza con consecuencias violentas graves; evita detalles gráficos, pero glorifica daño grave.	5
Texto no apto para niños ni adolescentes: comentario que normaliza hacer daño grave para ganar respeto, con normalización de violencia extrema.	5
Comentario con frase competitiva con enojo leve; puede ser poco amable, pero no llega a violencia real.	1
Mensaje problemático por escena donde varios personajes se enfrentan físicamente; describe violencia a alto nivel, sin detalles gráficos.	3
El mensaje presenta texto que celebra una agresión extrema sin detalles explícitos como algo aceptable o admirable; es altamente inadecuado para menores.	5
Mensaje problemático por comentario que minimiza una pelea real entre adolescentes; describe violencia a alto nivel, sin detalles gráficos.	3
Comentario sobre escena de choque leve presentada como comedia; puede no ser ideal para niños pequeños, pero no es extremo.	2
Mensaje de alto riesgo: texto que presume participar en actos agresivos en un clip de internet, con tono agresivo.	4
Jajajaja mijo ps si no es fre fire para volver q revivir🤣	5
El contenido presenta video donde se normaliza resolver conflictos con golpes en una animación oscura, lo cual puede ser inadecuado para menores.	3
El mensaje presenta texto que celebra una agresión extrema sin detalles explícitos como algo aceptable o admirable; es altamente inadecuado para menores.	5
El mensaje usa mensaje que se burla de una víctima después de una agresión como forma de presión o miedo; no es adecuado para niños.	4
Texto con violencia moderada: mensaje que presenta la agresión como forma de ganar respeto, no apto para niños pequeños.	3
Contenido de riesgo alto: mensaje que normaliza la venganza violenta en un foro de adolescentes, con glorificación de daño.	4
El texto muestra escena de empujón accidental tratada como humor en un video de barrio, con tono molesto pero controlado.	1
Texto con violencia moderada: pelea callejera mencionada de forma general sin detalles gráficos, con una idea negativa para menores.	3
Mensaje muy riesgoso: mensaje que trata la violencia extrema como espectáculo; evita detalles gráficos, pero glorifica daño grave.	5
Texto con riesgo bajo-medio: pelea leve de caricatura sin heridas ni miedo intenso, presentado sin daño explícito.	2
Contenido de riesgo máximo: mensaje que glorifica violencia grave y la presenta como admirable en un video de reacción, claramente no apto para menores.	5
alguno no todos somos iguales uno si es hombre 🫵🏽	5
Comentario de riesgo 5 porque incluye mensaje que trata la violencia extrema como espectáculo en una publicación de fans, con tono intimidante.	5
Todo cartel corre ante la marina y soldados no digan q no	5
Comentario de riesgo medio: mensaje que trata los golpes como entretenimiento, con normalización de una conducta agresiva.	3
Texto preocupante porque incluye comentario que invita a responder a los problemas con violencia; no contiene instrucciones, pero sí normaliza violencia.	4
Comentario de riesgo 5 porque incluye mensaje que presenta la crueldad como algo aceptable en un video viral, con tono intimidante.	5
Puras 4 papá ya sabes arriba don m	5
Comentario de riesgo 5 porque incluye texto que promueve miedo, control e intimidación como poder en una publicación de fans, con tono agresivo.	5
El mensaje contiene frase competitiva con enojo leve en un comentario de redes, pero se mantiene en un nivel leve.	1
Texto de bajo riesgo: aparece queja exagerada sobre perder un juego, sin amenazas ni daño físico.	1
Comentario no recomendado para menores: comentario que presenta el daño físico como algo divertido, con tono de amenaza o intimidación.	4
Comentario no recomendado para menores: texto que presume participar en actos agresivos, con tono de amenaza o intimidación.	4
Texto preocupante porque incluye texto que justifica golpear a alguien por una discusión; no contiene instrucciones, pero sí normaliza violencia.	4
Comentario no recomendado para menores: mensaje que normaliza la venganza violenta, con tono de amenaza o intimidación.	4
El mensaje presenta texto que amenaza con consecuencias violentas graves como algo aceptable o admirable; es altamente inadecuado para menores.	5
Comentario de riesgo medio: mensaje que presenta la agresión como forma de ganar respeto, con normalización de una conducta agresiva.	3
Texto con violencia moderada: mensaje que trata los golpes como entretenimiento, que requiere supervisión adulta.	3
Texto con violencia moderada: comentario que alienta una revancha física sin explicar cómo, presentado como algo normal.	3
Comentario de riesgo medio: escena donde varios personajes se enfrentan físicamente, con normalización de una conducta agresiva.	3
Comentario de riesgo medio: escena donde varios personajes se enfrentan físicamente, con normalización de una conducta agresiva.	3
El contenido presenta comentario que celebra una discusión que se vuelve física en un foro de adolescentes, lo cual puede ser inadecuado para menores.	3
La familia termina siendo nuestra perdición. Pablo Escobar	5
El mensaje usa comentario que usa intimidación para provocar miedo como forma de presión o miedo; no es adecuado para niños.	4
Comentario de riesgo 5 porque incluye mensaje que trata la violencia extrema como espectáculo en una escena de acción, con tono agresivo.	5
Comentario de riesgo medio: mensaje que describe una persecución agresiva sin detalles explícitos, con normalización de una conducta agresiva.	3
Contenido de riesgo alto: texto que celebra que alguien termine lastimado, sin detalles gráficos en un video de reacción, con glorificación de daño.	4
Texto de bajo riesgo: aparece intercambio tenso que termina en disculpa, sin amenazas ni daño físico.	1
El texto menciona video donde se normaliza resolver conflictos con golpes en una discusión grabada; no es apto para niños sin supervisión.	3
Comentario sin riesgo: habla de opinión positiva sobre una manualidad familiar, sin violencia ni amenazas.	0
El contenido menciona escena de empujones en un juego físico supervisado; requiere contexto, aunque no da instrucciones ni detalles gráficos.	2
Mensaje de alto riesgo: comentario que invita a responder a los problemas con violencia en una escena de acción, presentado como algo normal.	4
El mensaje usa texto que celebra que alguien termine lastimado, sin detalles gráficos como forma de presión o miedo; no es adecuado para niños.	4
Contenido de riesgo máximo: comentario que normaliza hacer daño grave para ganar respeto en un video viral, claramente no apto para menores.	5
El mensaje presenta texto que amenaza con consecuencias violentas graves como algo aceptable o admirable; es altamente inadecuado para menores.	5
Texto con riesgo bajo-medio: persecución ficticia sin daño real, presentado sin daño explícito.	2
Comentario de riesgo 5 porque incluye mensaje que trata la violencia extrema como espectáculo en un montaje dramático, con una idea negativa para menores.	5
Comentario de riesgo medio: video donde se normaliza resolver conflictos con golpes, con normalización de una conducta agresiva.	3
Mensaje muy riesgoso: comentario que celebra daño severo hacia otra persona sin describirlo gráficamente; evita detalles gráficos, pero glorifica daño grave.	5
Mensaje muy riesgoso: mensaje que glorifica violencia grave y la presenta como admirable; evita detalles gráficos, pero glorifica daño grave.	5
Mensaje muy riesgoso: texto que amenaza con consecuencias violentas graves; evita detalles gráficos, pero glorifica daño grave.	5
Mensaje de alto riesgo: comentario que amenaza con hacer daño a otra persona sin dar instrucciones en una discusión grabada, que requiere supervisión adulta.	4
Mensaje muy riesgoso: mensaje que romantiza el crimen violento y sus consecuencias; evita detalles gráficos, pero glorifica daño grave.	5
Texto preocupante porque incluye comentario que presenta el daño físico como algo divertido; no contiene instrucciones, pero sí normaliza violencia.	4
Contenido de riesgo alto: comentario que usa intimidación para provocar miedo en un fragmento de película, con glorificación de daño.	4
Mensaje de alto riesgo: comentario que invita a responder a los problemas con violencia en una escena de acción, con tono agresivo.	4
Contenido de riesgo máximo: texto que celebra una agresión extrema sin detalles explícitos en un relato ficticio, claramente no apto para menores.	5
Texto no apto para niños ni adolescentes: mensaje que presenta la crueldad como algo aceptable, con normalización de violencia extrema.	5
El mensaje usa comentario que presenta el daño físico como algo divertido como forma de presión o miedo; no es adecuado para niños.	4
Texto preocupante porque incluye comentario que amenaza con hacer daño a otra persona sin dar instrucciones; no contiene instrucciones, pero sí normaliza violencia.	4
Contenido de riesgo alto: comentario que invita a responder a los problemas con violencia en una discusión grabada, con glorificación de daño.	4
Contenido de riesgo máximo: mensaje que presenta la crueldad como algo aceptable en una transmisión en vivo, claramente no apto para menores.	5
Contenido de riesgo máximo: comentario que normaliza hacer daño grave para ganar respeto en un video viral, claramente no apto para menores.	5
El texto menciona comentario que minimiza una pelea real entre adolescentes en una historia corta; no es apto para niños sin supervisión.	3
Comentario de riesgo medio: escena donde varios personajes se enfrentan físicamente, con normalización de una conducta agresiva.	3
El mensaje presenta mensaje que romantiza el crimen violento y sus consecuencias como algo aceptable o admirable; es altamente inadecuado para menores.	5
Comentario no recomendado para menores: texto que presume participar en actos agresivos, con tono de amenaza o intimidación.	4
El contenido menciona persecución ficticia sin daño real; requiere contexto, aunque no da instrucciones ni detalles gráficos.	2
Contenido de riesgo alto: texto que celebra que alguien termine lastimado, sin detalles gráficos en una animación oscura, con glorificación de daño.	4
El contenido presenta mensaje que presenta la agresión como forma de ganar respeto en un video de barrio, lo cual puede ser inadecuado para menores.	3
Texto con violencia moderada: mensaje que trata los golpes como entretenimiento, con una situación tensa.	3
Mensaje muy riesgoso: mensaje que romantiza el crimen violento y sus consecuencias; evita detalles gráficos, pero glorifica daño grave.	5
Comentario de riesgo medio: video donde se normaliza resolver conflictos con golpes, con normalización de una conducta agresiva.	3
El contenido menciona pelea leve de caricatura sin heridas ni miedo intenso; requiere contexto, aunque no da instrucciones ni detalles gráficos.	2
Comentario de riesgo medio: comentario que alienta una revancha física sin explicar cómo, con normalización de una conducta agresiva.	3
El mensaje incluye juego de batalla con accesorios de espuma en una animación oscura; es acción leve y no gráfica.	2
Texto preocupante porque incluye texto que celebra que alguien termine lastimado, sin detalles gráficos; no contiene instrucciones, pero sí normaliza violencia.	4
El mensaje presenta mensaje que romantiza el crimen violento y sus consecuencias como algo aceptable o admirable; es altamente inadecuado para menores.	5
El mensaje usa mensaje que glorifica una pelea fuerte y humillante como forma de presión o miedo; no es adecuado para niños.	4
Comentario de riesgo 5 porque incluye mensaje que romantiza el crimen violento y sus consecuencias en una discusión grabada, con tono agresivo.	5
El contenido menciona competencia deportiva con contacto controlado; requiere contexto, aunque no da instrucciones ni detalles gráficos.	2
Texto con riesgo bajo-medio: competencia deportiva con contacto controlado, presentado sin daño explícito.	2
Comentario no recomendado para menores: comentario que invita a responder a los problemas con violencia, con tono de amenaza o intimidación.	4
El texto muestra frase competitiva con enojo leve en un foro de adolescentes, con tono molesto pero controlado.	1
El mensaje es seguro: trata de opinión positiva sobre una manualidad familiar y mantiene un tono respetuoso.	0
Texto preocupante porque incluye mensaje que normaliza la venganza violenta; no contiene instrucciones, pero sí normaliza violencia.	4
puro marro CSRL ⚒️🔺	5
Texto preocupante porque incluye texto que justifica golpear a alguien por una discusión; no contiene instrucciones, pero sí normaliza violencia.	4
Mensaje muy riesgoso: mensaje que presenta la crueldad como algo aceptable; evita detalles gráficos, pero glorifica daño grave.	5
Comentario de riesgo 5 porque incluye texto que celebra una agresión extrema sin detalles explícitos en un comentario de redes, descrito de forma general.	5
El texto muestra frase competitiva con enojo leve en un foro de adolescentes, con tono molesto pero controlado.	1
Texto con riesgo bajo-medio: juego de batalla con accesorios de espuma, presentado sin daño explícito.	2
El mensaje es seguro: trata de mensaje respetuoso en un video de ciencia para niños y mantiene un tono respetuoso.	0
Comentario con reacción impulsiva ante una derrota; puede ser poco amable, pero no llega a violencia real.	1
Texto con violencia moderada: comentario que alienta una revancha física sin explicar cómo, con enfoque poco saludable.	3
Contenido de riesgo alto: comentario que presenta el daño físico como algo divertido en una animación oscura, con glorificación de daño.	4
Mensaje problemático por video donde se normaliza resolver conflictos con golpes; describe violencia a alto nivel, sin detalles gráficos.	3
Contenido de riesgo alto: texto que justifica golpear a alguien por una discusión en un relato ficticio, con glorificación de daño.	4
El texto menciona comentario que alienta una revancha física sin explicar cómo en un video de barrio; no es apto para niños sin supervisión.	3
Mensaje muy riesgoso: texto que promueve miedo, control e intimidación como poder; evita detalles gráficos, pero glorifica daño grave.	5
Comentario de riesgo 5 porque incluye mensaje que glorifica violencia grave y la presenta como admirable en una discusión grabada, con una idea negativa para menores.	5
Texto con violencia moderada: mensaje que describe una persecución agresiva sin detalles explícitos, que requiere supervisión adulta.	3
Mensaje de alto riesgo: texto que presume participar en actos agresivos en una transmisión en vivo, con lenguaje de conflicto.	4
Comentario sin riesgo: habla de comentario positivo sobre un juego de mesa, sin violencia ni amenazas.	0
Texto con violencia moderada: comentario que alienta una revancha física sin explicar cómo, con enfoque poco saludable.	3
Comentario con discusión leve entre personajes sin insultos fuertes; puede ser poco amable, pero no llega a violencia real.	1
Mensaje con conflicto menor: reacción impulsiva ante una derrota, sin contenido gráfico.	1
Texto preocupante porque incluye mensaje que normaliza la venganza violenta; no contiene instrucciones, pero sí normaliza violencia.	4
Comentario de riesgo 5 porque incluye texto que promueve miedo, control e intimidación como poder en un video viral, con una idea negativa para menores.	5
Contenido de riesgo alto: comentario que amenaza con hacer daño a otra persona sin dar instrucciones en un clip de internet, con glorificación de daño.	4
Comentario positivo de reacción alegre a un video de baile; es adecuado para un entorno infantil.	0
Contenido de riesgo alto: mensaje que normaliza la venganza violenta en un fragmento de película, con glorificación de daño.	4
El mensaje usa mensaje que normaliza la venganza violenta como forma de presión o miedo; no es adecuado para niños.	4
El mensaje presenta mensaje que glorifica violencia grave y la presenta como admirable como algo aceptable o admirable; es altamente inadecuado para menores.	5
El contenido presenta comentario que alienta una revancha física sin explicar cómo en un relato ficticio, lo cual puede ser inadecuado para menores.	3
Comentario de riesgo 5 porque incluye mensaje que glorifica violencia grave y la presenta como admirable en una animación oscura, con lenguaje de conflicto.	5
Comentario no recomendado para menores: texto que justifica golpear a alguien por una discusión, con tono de amenaza o intimidación.	4
Comentario no recomendado para menores: comentario que presenta el daño físico como algo divertido, con tono de amenaza o intimidación.	4
El mensaje usa mensaje que glorifica una pelea fuerte y humillante como forma de presión o miedo; no es adecuado para niños.	4
Mensaje con competencia deportiva con contacto controlado en un montaje dramático, tratado como ficción o actividad controlada.	2
Contenido de riesgo alto: mensaje que normaliza la venganza violenta en una escena de acción, con glorificación de daño.	4
Contenido de riesgo alto: texto que justifica golpear a alguien por una discusión en un relato ficticio, con glorificación de daño.	4
Comentario de riesgo medio: mensaje que trata los golpes como entretenimiento, con normalización de una conducta agresiva.	3
Comentario de riesgo medio: comentario que alienta una revancha física sin explicar cómo, con normalización de una conducta agresiva.	3
Texto preocupante porque incluye texto que presume participar en actos agresivos; no contiene instrucciones, pero sí normaliza violencia.	4
Mensaje problemático por comentario que celebra una discusión que se vuelve física; describe violencia a alto nivel, sin detalles gráficos.	3
Texto con riesgo bajo-medio: juego de batalla con accesorios de espuma, presentado sin daño explícito.	2
El mensaje incluye escena de empujones en un juego físico supervisado en una discusión grabada; es acción leve y no gráfica.	2
Texto preocupante porque incluye comentario que invita a responder a los problemas con violencia; no contiene instrucciones, pero sí normaliza violencia.	4
Comentario sin riesgo: habla de reacción alegre a un video de baile, sin violencia ni amenazas.	0
Texto no apto para niños ni adolescentes: comentario que normaliza hacer daño grave para ganar respeto, con normalización de violencia extrema.	5
Comentario de riesgo 5 porque incluye texto que celebra una agresión extrema sin detalles explícitos en un video de reacción, con una situación tensa.	5
